0,1,2
VSPLOT_OFF,Variable Short Penn Line Orientation: Total Positions Off for All Trials (VSPLOT_OFF),Penn Line Orientation:  Total Positions Off for All Trials
SCPT_TPRT,Short Penn Continuous Performance Test: Median Response Time for True Positive Responses (SCPT_TPRT),Short Penn CPT Median Response Time for True Positive Responses
ListSort_AgeAdj,NIH Toolbox List Sorting Working Memory Test: Age-Adjusted Scale Score,"This task assesses working memory and requires the participant to sequence different visually- and orally-presented stimuli (foods and animals) into size order. List Sorting is a measure of working memory, tapping both information processing and storage. It is considered a 襢luid ability?measure, with performance tending to peak in early adulthood and then declining across the life span. Higher scores on each of these indicate higher levels of working memory. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
CogFluidComp_AgeAdj,NIH Toolbox Cognition Fluid Composite: Age Adjusted Scale Score,"The Fluid Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are fluid ability measures (Flanker, Dimensional Change Card Sort, Picture Sequence Memory, List Sorting and Pattern Comparison), then deriving scale scores based on this new distribution. One can interpret the Fluid Cognition Composite as a more global assessment of individual and group fluid cognition functioning. Higher scores indicate higher levels of functioning. Age-adjusted Scale Score: Participant score is normed using the age appropriate band of Toolbox Norming Sample (bands of ages 18-29, or 30-35), where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average for participants age band."
CogEarlyComp_Unadj,NIH Toolbox Cognition Early Childhood Composite: Unadjusted Scale Score,"The Early Childhood Composite score is derived by averaging the normalized scores of each of the four Toolbox cognition measures that comprise the Early Childhood Battery (Picture Vocabulary, Flanker, DCCS and Picture Sequence Memory), then deriving scale scores based on this new distribution. The Early Childhood Composite Score can be interpreted much like the Cognitive Function Composite and it provides a highly reliable overall snapshot of general cognitive functioning. Higher scores indicate higher levels of functioning. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average"
CogTotalComp_Unadj,NIH Toolbox Cognition Total Composite Score: Unadjusted Scale Score,"The Cognitive Function Composite score is derived by averaging the normalized scores of each of the Fluid and Crystallized cognition measures, then deriving scale scores based on this new distribution. Higher scores indicate higher levels of cognitive functioning. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average."
CogCrystalComp_Unadj,NIH Toolbox Cognition Crystallized Composite: Unadjusted Scale Score,"The Crystallized Cognition Composite score is derived by averaging the normalized scores of each of the Toolbox tests that are crystallized measures (Picture Vocabulary and Reading Tests), then deriving scale scores based on this new distribution. One can interpret the Crystallized Cognition Composite as a more global assessment of individual and group verbal reasoning. Higher scores indicate higher levels of functioning. Unadjusted Scale Score: Participant score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average."
Sadness_Unadj,NIH Toolbox Sadness Survey: Unadjusted Scale Score,"This self-report measure assesses sadness for ages 18-85 using a CAT format. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of more sadness. Scores 1 SD or more below the mean (T ?40) suggest low levels of sadness and scores 1 SD or more above the mean (T ?60) suggest high levels of sadness."
PercHostil_Unadj,NIH Toolbox Perceived Hostility Survey: Unadjusted Scale Score,"This self-report measure assesses perceptions of hostility in daily social interactions (e.g., how often people argue with me, yell at me, or criticize me) using an 8-item fixed-length form for ages 18-85. The Unadjusted Scale Score has a Mean of 50, SD of 10. Higher scores are indicative of greater perceived hostility. Scores 1 SD or more below the mean (T ?40) suggest low levels of perceived hostility and scores 1 SD or more above the mean (T ?60) suggest high levels of perceived hostility. "
Emotion_Task_Acc,OVERALL Emotion Task accuracy,Average accuracy Percentage during EMOTION task
Language_Task_Acc,Language Task OVERALL accuracy,Average of accuracy from each condition in the LANGUAGE task
Relational_Task_Acc,Relational Task OVERALL accuracy,Average accuracy Percentage during RELATIONAL task
Social_Task_Random_Perc_Random,Social Task Overall Percentage 'Random',Overall Percentage of stimuli that the subject rated as 'random' in SOCIAL task
WM_Task_Acc,Working Memory Task Overall Accuracy,Accuracy across all conditions in WM task
Endurance_Unadj,NIH Toolbox 2-minute Walk Endurance Test : Unadjusted Scale Score,"This test measures sub-maximal cardiovascular endurance by recording the distance that the participant is able to walk on a 50-foot (out and back) course in 2 minutes.  The participant's raw score is the distance in feet and inches walked in 2 minutes. Unadjusted Scale Score: Participant raw score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. "
Strength_Unadj,NIH Toolbox Grip Strength Test: Unadjusted Scale Score,"Grip strength for each hand is measured with the participant seated in a chair with their feet touching the ground. With the elbow bent to 90 degrees and the arm against the trunk, wrist at neutral, participants squeeze the Jamar Plus Digital dynamometer as hard as they can for a count of three. The dynamometer provides a digital reading of force in pounds.  each hand. The Grip Strength Test provides a raw score for each hand (raw scores available on request to info@humanconnectome.org), with the scale scores representing the relative force the participant was able to generate using his/her dominant hand. Unadjusted Scale Score: Participant raw score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. "
NEOFAC_A,NEO-FFI Agreeableness (NEOFAC_A),"Agreeableness Scale Score NEO-FFI (McCrae and Costa 2004). Note: NEOFAC_A scores in ConnectomeDB before April 3, 2018, were incorrect due to a bug in scoring NEO Item #59. The maximum effect of the bug was +/- 4pts, depending on participant's answer on NEO Item #59."
Noise_Comp,NIH Toolbox Words-In-Noise Age 6+: Computed Score,"This test measures a person ability to recognize single words presented amid varying levels of background noise. It measures how much difficulty a person might have hearing in a noisy environment. A percent correct is calculated, which is then translated into a threshold score for each ear, in decibels of signal-to-noise ratio (dB S/N), using a look-up table. The range of possible scores for each ear is -2.0 to 26.0 dB S/N, with lower scores indicative of better performance and, conversely, higher scores potentially suggestive of hearing difficulties. Note: HCP has used two versions of the NIH Toolbox WIN test (V1 and V2). In V1 the audio output was through a sound card and equalizer that is no longer supported and in V2 the audio output goes straight through the headphone jack worn by the participant. HCP switched from V1 to V2 WIN on January 23, 2015, so all Q1-S500 Subjects were administered V1 and most S900+ Subjects were administered V2."
